Course,address,city,state,zip
Tanglewood,290 Tanglewood Circle,Pottsboro,TX,75076
Sherrill Park C1,2001 E Lookout Drive,Richardson,TX,75082
Sherrill Park C2,2001 E Lookout Drive,Richardson,TX,75082
Pecan Hallow,4501 14th St,Plano,TX,75074
Bridges Gunter,2400 Fred Couples Drive,Gunter,TX,75058
Ridgeview,2701 Ridgeview Drive,Plano,TX,75025
Buffalo Creek,624 Country Club Drive,Rockwall,TX,75032
Plantation,4701 Plantation Lane,Frisco,TX,75035
Firewheel (Masters),1535 E Brand Road,Garland,TX,75044
Firewheel (Tradition),1535 E Brand Road,Garland,TX,75044
Firewheel (Champion),1535 E Brand Road,Garland,TX,75044
Firewheel (Masters+Tradition),1535 E Brand Road,Garland,TX,75044
Firewheel (Champion+Masters),1535 E Brand Road,Garland,TX,75044
The Patriot Golf Club,5790 N Patriot Dr,Owasso,ok,74055
