Course,DATE,Difficulty,Condition,Pace,Cost,location,People ,Range
Buffalo Creek,1/3/2026,5,7,7,4,4,5,5
Plantation,1/9/2026,3,5,7,8,10,7,8
Tanglewood,1/10/2026,5,7,7,3,7,7,9
Plantation,1/16/2026,3,5,7,8,10,7,8
Plantation,1/19/2026,3,5,7,8,10,7,8
Sherrill Park C2,2/5/2026,5,7,7,8,7,7,7
Plantation,2/10/2026,3,5,7,8,10,7,8
Sherrill Park C2,2/11/2026,5,7,7,8,7,7,7
Sherrill Park C2,2/11/2026,5,7,7,8,7,7,7
Tanglewood,2/13/2026,5,7,7,3,7,7,9
Plantation,2/18/2026,6,5,7,8,10,7,8
Tanglewood,2/28/2026,5,7,7,3,7,7,9
Plantation,3/13/2026,6,5,6,8,10,7,8
Sherrill Park C1,3/24/2026,6,7,7,8,7,7,7
Plantation,3/25/2026,6,5,6,8,10,7,8
Plantation,3/31/2026,6,5,6,8,10,7,8
Firewheel (Champion+Masters),4/8/2026,4,7,7,8,6,7,3
Firewheel (Champion+Masters),4/9/2026,6,8,3,8,6,7,3
Firewheel (Masters+Tradition),4/23/2026,4,8,8,8,6,7,3
