date,club,club_name,shot_#,club_speed_(mph),attack_angle_(deg),ball_speed_(mph),spin_rate_(rpm),carry_(yds),side_(ft),side_dir,low_point_(in),smash
2025-12-11,dr,driver,1,98.5,2.8,136.0,2836,220.1,-107.6,l,,1.38
2025-12-11,dr,driver,2,84.5,2.1,119.0,2057,183.0,-58.4,l,,1.41
2025-12-11,dr,driver,3,89.9,-2.5,129.1,3344,177.0,29.9,r,,1.44
2025-12-11,dr,driver,4,88.7,-2.9,127.0,2889,144.0,3.4,r,,1.43
2025-12-11,dr,driver,5,96.7,0.3,136.1,1858,116.1,-100.5,l,,1.41
2025-12-11,dr,driver,6,93.0,-0.3,131.4,1964,96.3,-35.4,l,,1.41
2025-12-11,dr,driver,7,98.6,1.0,141.8,3885,222.2,70.2,r,,1.44
2025-12-11,dr,driver,8,94.7,5.2,139.0,1930,175.0,-126.2,l,,1.47
2025-12-11,dr,driver,9,96.7,-1.4,136.1,1726,181.3,-75.9,l,,1.41
2025-12-11,dr,driver,10,91.9,-2.8,130.6,2572,93.6,-24.1,l,,1.42
2025-12-11,dr,driver,11,91.3,0.3,128.1,4809,187.6,150.2,r,,1.40
2025-12-11,dr,driver,12,86.0,-1.7,124.4,2320,147.8,-39.4,l,,1.45
2025-12-11,dr,driver,13,96.1,-3.6,140.4,3228,207.1,46.4,r,,1.46
2025-12-11,dr,driver,14,87.1,-0.2,130.1,1868,93.4,-32.0,l,,1.49
2025-12-11,dr,driver,15,91.2,0.4,128.8,2834,186.5,-139.1,l,,1.41
2025-12-11,dr,driver,16,88.6,-1.0,117.1,5655,163.4,-61.4,l,,1.32
2025-12-11,dr,driver,17,97.5,-3.5,143.8,3125,218.5,44.4,r,,1.47
2025-12-11,dr,driver,18,89.0,2.1,130.9,2171,194.2,-17.4,l,,1.47
2025-12-11,dr,driver,19,91.4,-1.0,133.3,4029,200.5,78.4,r,,1.46
