DATE,Sim Type,Location,Indoor / Outdoor,Shot Count,Type,Name,Notes
12/20/2025,Full 18,Plantation,Outdoor,94,Play,Kyle,
12/19/2025,Full 18,Sheryl Park C1,Outdoor,104,Play,Kyle,
12/14/2025,Trackman,Private Fairway,Indoor,33,Practice,Kyle,
12/14/2025,Trackman,Private Fairway,Indoor,44,Practice,Kyle,
12/13/2025,Full 18,Tanglewood,Outdoor,99,Play,Kyle,
12/12/2025,Full 18,Sheryl Park C2,Outdoor,114,Play,Kyle,
12/11/2025,Trackman,Private Fairway,Indoor,179,Practice,Kyle,
12/10/2025,Trackman,Private Fairway,Indoor,50,Practice,Kyle,
12/10/2025,Trackman,Private Fairway,Indoor,125,Practice,Kyle,
12/9/2025,Trackman,Private Fairway,Indoor,14,Practice,Kyle,
12/9/2025,Trackman,Private Fairway,Indoor,32,Practice,Kyle,
12/4/2025,Trackman,Private Fairway,Indoor,24,Practice,Kyle,
12/3/2025,Toptracer,Golf Ranch,Outdoor,158,Practice,Kyle,
11/21/2025,Toptracer,Golf Ranch,Outdoor,159,Practice,Kyle,
11/19/2025,Toptracer,Golf Ranch,Outdoor,203,Practice,Kyle,
11/17/2025,Toptracer,Golf Ranch,Outdoor,160,Practice,Kyle,
11/14/2025,Full 18,All,Outdoor,96,Play,Kyle,
11/8/2025,Full 18,All,Outdoor,101,Play,Kyle,
11/7/2025,Full 18,All,Outdoor,99,Play,Kyle,
10/22/2025,Full 18,All,Outdoor,85,Play,Kyle,
9/30/2025,Full 18,All,Outdoor,89,Play,Kyle,
9/28/2025,Full 18,All,Outdoor,91,Play,Kyle,
9/25/2025,Full 18,All,Outdoor,79,Play,Kyle,
9/24/2025,Toptracer,Golf Ranch,Outdoor,160,Practice,Kyle,
9/17/2025,Full 18,All,Outdoor,94,Play,Kyle,
9/10/2025,Full 18,All,Outdoor,87,Play,Kyle,
9/5/2025,Full 18,All,Outdoor,89,Play,Kyle,
9/4/2025,Full 18,All,Outdoor,88,Play,Kyle,
8/26/2025,Full 18,All,Outdoor,87,Play,Kyle,
8/21/2025,Full 18,All,Outdoor,128,Play,Kyle,
8/19/2025,Full 18,All,Outdoor,84,Play,Kyle,
8/13/2025,Full 18,All,Outdoor,90,Play,Kyle,
8/12/2025,Toptracer,Golf Ranch,Outdoor,69,Practice,Kyle,
7/25/2025,Full 18,All,Outdoor,81,Play,Kyle,
7/24/2025,Full 18,All,Outdoor,83,Play,Kyle,
7/21/2025,Full 18,All,Outdoor,93,Play,Kyle,
7/18/2025,Toptracer,Golf Ranch,Outdoor,76,Practice,Kyle,
7/15/2025,Full 18,All,Outdoor,88,Play,Kyle,
7/11/2025,Toptracer,Golf Ranch,Outdoor,78,Practice,Kyle,
7/9/2025,Toptracer,Golf Ranch,Outdoor,115,Practice,Kyle,
7/3/2025,Toptracer,Golf Ranch,Outdoor,154,Practice,Kyle,
6/30/2025,Toptracer,Golf Ranch,Outdoor,159,Practice,Kyle,
6/26/2025,Toptracer,Golf Ranch,Outdoor,114,Practice,Kyle,
6/24/2025,Toptracer,Golf Ranch,Outdoor,116,Practice,Kyle,
6/18/2025,Toptracer,Golf Ranch,Outdoor,156,Practice,Kyle,
6/16/2025,Toptracer,Golf Ranch,Outdoor,131,Practice,Kyle,
5/2/2025,Toptracer,Golf Ranch,Outdoor,80,Practice,Kyle,
4/29/2025,Toptracer,Golf Ranch,Outdoor,111,Practice,Kyle,
4/28/2025,Toptracer,Golf Ranch,Outdoor,149,Practice,Kyle,
4/28/2025,Toptracer,Golf Ranch,Outdoor,13,Practice,Kyle,
4/17/2025,Toptracer,Golf Ranch,Outdoor,64,Practice,Kyle,
4/17/2025,Toptracer,Golf Ranch,Outdoor,33,Practice,Kyle,
4/17/2025,Toptracer,Golf Ranch,Outdoor,70,Practice,Kyle,
4/14/2025,Toptracer,Golf Ranch,Outdoor,24,Practice,Kyle,
4/14/2025,Toptracer,Golf Ranch,Outdoor,131,Practice,Kyle,
4/11/2025,Full 18,All,Outdoor,139,Play,Kyle,
4/10/2025,Full 18,All,Outdoor,89,Play,Kyle,
4/8/2025,Full 18,All,Outdoor,89,Play,Kyle,
4/7/2025,Full 18,All,Outdoor,91,Play,Kyle,
3/30/2025,Toptracer,Golf Ranch,Outdoor,132,Practice,Kyle,
3/21/2025,Toptracer,Golf Ranch,Outdoor,73,Practice,Kyle,
3/20/2025,Toptracer,Golf Ranch,Outdoor,52,Practice,Kyle,
3/20/2025,Toptracer,Golf Ranch,Outdoor,21,Practice,Kyle,
3/20/2025,Toptracer,Golf Ranch,Outdoor,12,Practice,Kyle,
3/20/2025,Toptracer,Golf Ranch,Outdoor,19,Practice,Kyle,
3/20/2025,Toptracer,Golf Ranch,Outdoor,13,Practice,Kyle,
3/20/2025,Toptracer,Golf Ranch,Outdoor,26,Practice,Kyle,
3/18/2025,Toptracer,Golf Ranch,Outdoor,32,Practice,Kyle,
3/18/2025,Toptracer,Golf Ranch,Outdoor,34,Practice,Kyle,
3/18/2025,Toptracer,Golf Ranch,Outdoor,85,Practice,Kyle,
3/13/2025,Toptracer,Golf Ranch,Outdoor,36,Practice,Kyle,
3/13/2025,Toptracer,Golf Ranch,Outdoor,50,Practice,Kyle,
3/7/2025,Full 18,All,Outdoor,132,Play,Kyle,
3/6/2025,Toptracer,Golf Ranch,Outdoor,120,Practice,Kyle,
3/6/2025,Toptracer,Golf Ranch,Outdoor,107,Practice,Kyle,
3/5/2025,Toptracer,Golf Ranch,Outdoor,14,Practice,Kyle,
3/5/2025,Toptracer,Golf Ranch,Outdoor,70,Practice,Kyle,
2/28/2025,Full 18,All,Outdoor,88,Play,Kyle,
2/26/2025,Full 18,All,Outdoor,94,Play,Kyle,
2/24/2025,Full 18,All,Outdoor,91,Play,Kyle,
2/23/2025,Full 18,All,Outdoor,88,Play,Kyle,
2/15/2025,Full 18,All,Outdoor,140,Play,Kyle,
2/8/2025,Full 18,All,Outdoor,137,Play,Kyle,
2/7/2025,Full 18,All,Outdoor,94,Play,Kyle,
2/5/2025,Full 18,All,Outdoor,135,Play,Kyle,
2/4/2025,Full 18,All,Outdoor,134,Play,Kyle,
2/3/2025,Toptracer,Golf Ranch,Outdoor,106,Practice,Kyle,
2/3/2025,Toptracer,Golf Ranch,Outdoor,60,Practice,Kyle,
2/3/2025,Toptracer,Golf Ranch,Outdoor,58,Practice,Kyle,
1/28/2025,Toptracer,Golf Ranch,Outdoor,54,Practice,Kyle,
1/28/2025,Toptracer,Golf Ranch,Outdoor,25,Practice,Kyle,
1/28/2025,Toptracer,Golf Ranch,Outdoor,19,Practice,Kyle,
1/28/2025,Toptracer,Golf Ranch,Outdoor,21,Practice,Kyle,
1/27/2025,Toptracer,Golf Ranch,Outdoor,74,Practice,Kyle,
1/27/2025,Toptracer,Golf Ranch,Outdoor,77,Practice,Kyle,
1/24/2025,Full 18,All,Outdoor,93,Play,Kyle,
1/15/2025,Toptracer,Golf Ranch,Outdoor,97,Practice,Kyle,
1/15/2025,Toptracer,Golf Ranch,Outdoor,75,Practice,Kyle,
1/15/2025,Toptracer,Golf Ranch,Outdoor,34,Practice,Kyle,
1/15/2025,Toptracer,Golf Ranch,Outdoor,62,Practice,Kyle,
1/3/2025,Full 18,All,Outdoor,135,Play,Kyle,
